"State","Year","Total_Births","Nicu_Births","State_Control","Preterm_Births","Ceasarean_Births","Covid_Year","Total.Population","Birth_Rate","PretermBirth_Rate","CBirth_Rate","NICUBirth_Rate"
"Colorad",2018,62885,6850,"Divided",11927,16397,"0",5695564,0.0110410488,0.189663671781824,0.26074580583605,0.108928997376163
"Colorad",2019,62869,6756,"Dem",12471,16823,"0",5758736,0.0109171527,0.198364853902559,0.267588159506275,0.107461547026356
"Colorad",2020,61494,6691,"Dem",12490,16719,"1",5807719,0.0105883222,0.203109246430546,0.27188018343253,0.108807363319999
"Colorad",2021,62949,6980,"Dem",13619,17211,"1",5812069,0.0108307386,0.216349743443105,0.27341180956012,0.110883413557006
"Colorad",2022,62383,6836,"Dem",13779,17387,"1",5839926,0.0106821559,0.220877482647516,0.278713752144014,0.109581135886379
"Colorad",2023,61494,6831,"Dem",13760,16885,"1",5877610,0.0104624158,0.223761667804989,0.27457963378541,0.111084008195922
"Connect",2016,36015,2842,"Dem",6490,12639,"0",3576452,0.0100700359,0.180202693322227,0.350937109537693,0.0789115646258503
"Connect",2017,35221,3239,"Divided",6420,12251,"0",3588184,0.0098158288,0.182277618466256,0.347832259163567,0.0919621816529911
"Connect",2018,34725,3247,"Divided",6455,12089,"0",3572665,0.0097196351,0.18588912886969,0.348135349172066,0.0935061195104392
"Connect",2019,34258,3525,"Dem",6554,11868,"0",3565287,0.0096087636,0.191312977990542,0.346430030941678,0.102895674003153
"Connect",2020,33460,3341,"Dem",6493,11389,"1",3557006,0.0094067876,0.194052600119546,0.340376569037657,0.0998505678421996
"Connect",2021,35670,3537,"Dem",7340,12613,"1",3605597,0.0098929525,0.205775161199888,0.353602467059153,0.0991589571068125
"Connect",2022,35332,3373,"Dem",7354,12437,"1",3626205,0.0097435197,0.208139929808672,0.352003849201857,0.0954658666364769
"Connect",2023,34559,3468,"Dem",7314,12101,"1",3617176,0.0095541384,0.211638068231141,0.350154807720131,0.100350125871698
"Delawar",2016,10992,1611,"Dem",2123,3492,"0",952065,0.0115454302,0.193140465793304,0.317685589519651,0.146561135371179
"Delawar",2017,10855,1357,"Dem",2191,3453,"0",961939,0.0112844993,0.201842468908337,0.318102257024413,0.125011515430677
"Delawar",2018,10621,1373,"Dem",2196,3325,"0",967171,0.0109815121,0.20676019207231,0.313059033989267,0.129272196591658
"Delawar",2019,10562,1397,"Dem",2300,3323,"0",973764,0.0108465706,0.217761787540239,0.314618443476614,0.13226661617118
"Delawar",2020,10392,1399,"Dem",2461,3293,"1",986809,0.0105309133,0.236816782140108,0.316878367975366,0.134622786759045
"Delawar",2021,10482,1267,"Dem",2559,3335,"1",1003384,0.0104466485,0.244132799084144,0.318164472428926,0.120873879030719
"Delawar",2022,10816,1454,"Dem",2537,3450,"1",1018396,0.010620623,0.234559911242604,0.318971893491124,0.134430473372781
"Delawar",2023,10427,1476,"Dem",2482,3286,"1",1031890,0.0101047592,0.238035868418529,0.315143377769253,0.141555576867747
"Florida",2016,225022,20135,"Rep",44227,84204,"0",20612439,0.0109168061,0.196545226688946,0.374203411222014,0.0894801397196719
"Florida",2017,223630,20541,"Rep",44875,83124,"0",20984400,0.0106569642,0.200666279121764,0.371703259848857,0.0918526136922595
"Florida",2018,221542,20952,"Rep",45542,81550,"0",21299325,0.0104013625,0.205568244396096,0.368101759485786,0.0945734894512101
"Florida",2019,220002,21434,"Rep",46942,80321,"0",21477737,0.0102432579,0.213370787538295,0.365092135526041,0.0974263870328452
"Florida",2020,209671,19902,"Rep",45783,75166,"1",21733312,0.0096474481,0.218356377372169,0.358494975461556,0.0949201367857262
"Florida",2021,216260,20919,"Rep",49434,77295,"1",21781128,0.0099287787,0.228585961342828,0.357416998057893,0.0967307870156293
"Florida",2022,224433,21102,"Rep",50951,80526,"1",22244823,0.0100892239,0.227020981762931,0.358797503040997,0.0940236061541752
"Florida",2023,221410,21662,"Rep",51769,80137,"1",22610726,0.0097922552,0.233815094169188,0.361939388464839,0.0978365927464884
"Georgia",2016,130042,11591,"Rep",27586,43935,"0",10310371,0.0126127372,0.212131465218929,0.337852386152166,0.0891327417295951
"Georgia",2017,129243,11744,"Rep",28068,44098,"0",10429379,0.0123922048,0.217172303335577,0.341202231455475,0.0908675905078031
"Georgia",2018,126172,11823,"Rep",27861,42851,"0",10519475,0.0119941347,0.220817614050661,0.339623688298513,0.0937054180008243
"Georgia",2019,126371,12245,"Rep",29042,43360,"0",10617423,0.011902229,0.229815384858868,0.343116696077423,0.0968972311685434
"Georgia",2020,122473,11583,"Rep",28279,41462,"1",10710017,0.0114353693,0.23089987180848,0.338539923085088,0.0945759473516612
"Georgia",2021,124073,12006,"Rep",30189,43474,"1",10799566,0.0114887024,0.243316434679584,0.350390495917726,0.0967656137918806
"Georgia",2022,126130,12552,"Rep",31585,44412,"1",10912876,0.0115579065,0.250416237215571,0.352112899389519,0.0995163719971458
"Georgia",2023,125120,12284,"Rep",31931,44742,"1",11029227,0.0113444034,0.25520300511509,0.357592710997442,0.0981777493606138
"Hawaii",2016,18059,1160,"Dem",3639,4549,"0",1428557,0.0126414277,0.201506174206767,0.251896561271388,0.0642338999944626
"Hawaii",2017,17517,1101,"Dem",3554,4529,"0",1427538,0.0122707767,0.202888622481018,0.258548838271394,0.0628532282925158
"Hawaii",2018,16972,807,"Dem",3371,4561,"0",1420491,0.0119479814,0.198621258543483,0.26873674287061,0.0475489040773038
"Hawaii",2019,16797,1046,"Dem",3493,4502,"0",1415872,0.0118633605,0.207953801274037,0.268024051914032,0.0622730249449306
"Hawaii",2020,15785,1001,"Dem",3183,4147,"1",1407006,0.0112188576,0.20164713335445,0.262717770034843,0.0634146341463415
"Hawaii",2021,15620,829,"Dem",3315,4322,"1",1441553,0.0108355364,0.212227912932138,0.276696542893726,0.0530729833546735
"Hawaii",2022,15535,1119,"Dem",3181,4294,"1",1440196,0.0107867263,0.204763437399421,0.276408110717734,0.0720308979723206
"Hawaii",2023,14808,1154,"Dem",3145,4056,"1",1435138,0.0103181715,0.212385197190708,0.273905996758509,0.0779308481901675
"Idaho",2016,22482,2384,"Rep",4001,5378,"0",1683140,0.0133571777,0.17796459389734,0.2392135930967,0.106040387865848
"Idaho",2017,22181,2322,"Rep",3844,5253,"0",1716943,0.0129188913,0.173301474234705,0.236824309093368,0.104684189170912
"Idaho",2018,21403,2447,"Rep",3956,5128,"0",1754208,0.0122009477,0.184833901789469,0.239592580479372,0.114329766855114
"Idaho",2019,22063,2503,"Rep",4059,5293,"0",1787065,0.0123459415,0.183973167746907,0.239903911526084,0.113447853873
"Idaho",2020,21533,2311,"Rep",3914,5066,"1",1826913,0.0117865492,0.181767519621047,0.235266799795662,0.107323642780848
"Idaho",2021,22427,2395,"Rep",4214,5408,"1",1900923,0.0117979529,0.187898515182592,0.241137914121372,0.106790921656931
